"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_posroot","AFIR_thy","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"20",0.366667,NA,Inf,0.5,0.790569,7.33333,6887.92,0.000150573,NA,0,0.000150598,1.89737,0.316228,0.366661,0.499994,0.79058,7.33333,6881.31,0.000149913,314.9,5.49671e-05,1.89737,0.316228,"keDT","Pembro"
"21",0.366667,NA,Inf,0.5,0.206351,7.33333,6887.92,7.87262e-05,NA,0,7.87522e-05,7.26917,1.21153,0.366661,0.499994,0.206403,7.33333,6881.3,7.83996e-05,314.9,2.8746e-05,7.26917,1.21153,"keDT","Pembro"
"22",0.366667,NA,Inf,0.5,0.0538609,7.33333,6887.92,5.99415e-05,NA,0,5.99993e-05,27.8495,4.64159,0.366661,0.499994,0.0539095,7.33333,6881.3,5.97318e-05,314.9,2.19013e-05,27.8495,4.64159,"keDT","Pembro"
"23",0.366667,NA,Inf,0.5,0.0140585,7.33333,6887.92,5.4918e-05,NA,0,5.51045e-05,106.697,17.7828,0.366661,0.499994,0.0141054,7.33333,6881.3,5.48591e-05,314.9,2.01147e-05,106.697,17.7828,"keDT","Pembro"
"24",0.366667,NA,Inf,0.5,0.0036695,7.33333,6887.92,5.31512e-05,NA,0,5.38269e-05,408.775,68.1292,0.366661,0.499994,0.00371588,7.33333,6881.3,5.35872e-05,314.9,1.96483e-05,408.775,68.1292,"keDT","Pembro"
"25",0.366667,NA,Inf,0.5,0.000957797,7.33333,6887.92,5.10237e-05,NA,0,5.34934e-05,1566.09,261.016,0.366661,0.499994,0.00100404,7.33333,6881.3,5.32552e-05,314.9,1.95266e-05,1566.09,261.016,"keDT","Pembro"
"26",0.366667,NA,Inf,0.5,0.00025,7.33333,6887.92,4.50633e-05,NA,0,5.34064e-05,6000,1000,0.366661,0.499994,0.000296209,7.33333,6881.3,5.31686e-05,314.9,1.94948e-05,6000,1000,"keDT","Pembro"
"27",3666.67,NA,Inf,0.5,0.25,7.33333,6887.92,3.76556e-05,NA,0,8.412e-05,5e-04,1e-04,5.80843,0.230084,5.25003,7.33412,6881.27,0.860753,314.9,4.99962,5e-04,1e-04,"koff_TL","Pembro"
"28",957.058,NA,Inf,0.5,0.25,7.33333,6887.92,6.36213e-05,NA,0,8.412e-05,0.00191559,0.000383119,5.79451,0.231291,3.45076,7.33533,6881.2,0.552203,314.9,3.19974,0.00191559,0.000383119,"koff_TL","Pembro"
"29",249.807,NA,Inf,0.5,0.25,7.33333,6887.92,7.75855e-05,NA,0,8.412e-05,0.007339,0.0014678,5.74163,0.235862,0.834796,7.33471,6881.22,0.101728,314.9,0.584085,0.007339,0.0014678,"koff_TL","Pembro"
"30",65.2036,NA,Inf,0.5,0.25,7.33333,6887.92,8.23005e-05,NA,0,8.412e-05,0.0281171,0.00562341,5.54536,0.252607,0.254979,7.33333,6881.3,0.000894599,314.9,0.00496088,0.0281171,0.00562341,"koff_TL","Pembro"
"31",17.0192,NA,Inf,0.5,0.25,7.33333,6887.92,8.36271e-05,NA,0,8.412e-05,0.107722,0.0215443,4.87708,0.30687,0.251202,7.33332,6881.31,0.000243145,314.9,0.00118584,0.107722,0.0215443,"koff_TL","Pembro"
"32",4.44227,NA,Inf,0.5,0.25,7.33333,6887.92,8.39804e-05,NA,0,8.412e-05,0.412702,0.0825404,3.17706,0.422098,0.25037,7.33333,6881.31,0.00011045,314.9,0.000350905,0.412702,0.0825404,"koff_TL","Pembro"
"33",1.1595,NA,Inf,0.5,0.25,7.33333,6887.92,8.40731e-05,NA,0,8.412e-05,1.58114,0.316228,1.14469,0.496291,0.250117,7.33333,6881.3,8.38503e-05,314.9,9.59829e-05,1.58114,0.316228,"koff_TL","Pembro"
"34",0.302648,NA,Inf,0.5,0.25,7.33333,6887.92,8.40973e-05,NA,0,8.412e-05,6.05764,1.21153,0.302648,0.499999,0.250046,7.33333,6881.3,8.38203e-05,314.9,2.5368e-05,6.05764,1.21153,"koff_TL","Pembro"
"35",0.0789959,NA,Inf,0.5,0.25,7.33333,6887.92,8.41036e-05,NA,0,8.412e-05,23.2079,4.64159,0.078996,0.5,0.250028,7.33333,6881.31,8.40948e-05,314.9,6.64315e-06,23.2079,4.64159,"koff_TL","Pembro"
"36",0.0206192,NA,Inf,0.5,0.25,7.33333,6887.92,8.41053e-05,NA,0,8.412e-05,88.914,17.7828,0.0206192,0.5,0.250023,7.33333,6881.3,8.41687e-05,314.9,1.73549e-06,88.914,17.7828,"koff_TL","Pembro"
"37",0.00538193,NA,Inf,0.5,0.25,7.33333,6887.92,8.41057e-05,NA,0,8.412e-05,340.646,68.1292,0.00538195,0.5,0.250021,7.33333,6881.31,8.41868e-05,314.9,4.53089e-07,340.646,68.1292,"koff_TL","Pembro"
"38",0.00140477,NA,Inf,0.5,0.25,7.33333,6887.92,8.41058e-05,NA,0,8.412e-05,1305.08,261.016,0.00140481,0.500001,0.250021,7.33333,6881.3,8.41892e-05,314.9,1.1827e-07,1305.08,261.016,"koff_TL","Pembro"
"39",0.000366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,0,8.412e-05,5000,1000,0.000366828,0.500003,0.250021,7.33333,6881.31,8.41561e-05,314.9,3.08709e-08,5000,1000,"koff_TL","Pembro"
"40",3.66667e-05,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,0,8.412e-05,5e-05,1e-04,3.66671e-05,0.5,0.250021,7.33333,6881.31,8.37397e-05,314.9,3.07049e-09,5e-05,1e-04,"kon_TL","Pembro"
"41",0.000140477,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,0,8.412e-05,0.000191559,0.000383119,0.000140477,0.5,0.250021,7.33333,6881.31,8.37404e-05,314.9,1.17636e-08,0.000191559,0.000383119,"kon_TL","Pembro"
"42",0.000538193,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,0,8.412e-05,0.0007339,0.0014678,0.000538194,0.5,0.250021,7.33333,6881.31,8.37406e-05,314.9,4.50686e-08,0.0007339,0.0014678,"kon_TL","Pembro"
"43",0.00206192,NA,Inf,0.5,0.25,7.33333,6887.92,8.41058e-05,NA,0,8.412e-05,0.00281171,0.00562341,0.00206192,0.5,0.250021,7.33333,6881.31,8.37406e-05,314.9,1.72666e-07,0.00281171,0.00562341,"kon_TL","Pembro"
"44",0.00789959,NA,Inf,0.5,0.25,7.33333,6887.92,8.41057e-05,NA,0,8.412e-05,0.0107722,0.0215443,0.00789959,0.5,0.250022,7.33333,6881.31,8.37407e-05,314.9,6.61517e-07,0.0107722,0.0215443,"kon_TL","Pembro"
"45",0.0302648,NA,Inf,0.5,0.25,7.33333,6887.92,8.4105e-05,NA,0,8.412e-05,0.0412702,0.0825404,0.0302648,0.5,0.250023,7.33333,6881.3,8.37414e-05,314.9,2.53442e-06,0.0412702,0.0825404,"kon_TL","Pembro"
"46",0.11595,NA,Inf,0.5,0.25,7.33333,6887.92,8.41026e-05,NA,0,8.412e-05,0.158114,0.316228,0.11595,0.5,0.250031,7.33333,6881.3,8.37738e-05,314.9,9.71359e-06,0.158114,0.316228,"kon_TL","Pembro"
"47",0.444227,NA,Inf,0.5,0.25,7.33333,6887.92,8.40933e-05,NA,0,8.412e-05,0.605764,1.21153,0.444205,0.499983,0.250058,7.33333,6881.3,8.37457e-05,314.9,3.72002e-05,0.605764,1.21153,"kon_TL","Pembro"
"48",1.70192,NA,Inf,0.5,0.25,7.33333,6887.92,8.40578e-05,NA,0,8.412e-05,2.32079,4.64159,1.67891,0.494411,0.250163,7.33333,6881.3,8.48903e-05,314.9,0.000142523,2.32079,4.64159,"kon_TL","Pembro"
"49",6.52036,NA,Inf,0.5,0.25,7.33333,6887.92,8.39218e-05,NA,0,8.412e-05,8.8914,17.7828,4.98515,0.392637,0.250565,7.33333,6881.3,0.000109529,314.9,0.000546018,8.8914,17.7828,"kon_TL","Pembro"
"50",24.9807,NA,Inf,0.5,0.25,7.33333,6887.92,8.34049e-05,NA,0,8.412e-05,34.0646,68.1292,8.53622,0.182495,0.252103,7.33331,6881.3,0.000245055,314.9,0.00209184,34.0646,68.1292,"kon_TL","Pembro"
"51",95.7058,NA,Inf,0.5,0.25,7.33333,6887.92,8.14823e-05,NA,0,8.412e-05,130.508,261.016,10.2294,0.0583318,0.257998,7.33326,6881.3,0.000783365,314.9,0.00801332,130.508,261.016,"kon_TL","Pembro"
"52",366.667,NA,Inf,0.5,0.25,7.33333,6887.92,7.48702e-05,NA,0,8.412e-05,500,1000,10.7729,0.0161513,0.280571,7.33306,6881.3,0.00284855,314.9,0.0306872,500,1000,"kon_TL","Pembro"
"53",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33689e-05,NA,0,5.33787e-05,0.0003456,1e-04,0.366661,0.499994,0.250033,7.33333,6881.31,5.3141e-05,314.9,1.94847e-05,0.0003456,1e-04,"koff_DT","Pembro"
"54",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33776e-05,NA,0,5.33874e-05,0.00132406,0.000383119,0.366661,0.499994,0.250033,7.33333,6881.3,5.31497e-05,314.9,1.94879e-05,0.00132406,0.000383119,"koff_DT","Pembro"
"55",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.34109e-05,NA,0,5.34208e-05,0.00507271,0.0014678,0.366661,0.499994,0.250033,7.33333,6881.3,5.3183e-05,314.9,1.95001e-05,0.00507271,0.0014678,"koff_DT","Pembro"
"56",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.35386e-05,NA,0,5.35485e-05,0.0194345,0.00562341,0.366661,0.499994,0.250033,7.33333,6881.3,5.33101e-05,314.9,1.95467e-05,0.0194345,0.00562341,"koff_DT","Pembro"
"57",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.40279e-05,NA,0,5.4038e-05,0.0744573,0.0215443,0.366661,0.499994,0.250033,7.33333,6881.3,5.37974e-05,314.9,1.97254e-05,0.0744573,0.0215443,"koff_DT","Pembro"
"58",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.59025e-05,NA,0,5.59133e-05,0.28526,0.0825404,0.366661,0.499994,0.250034,7.33333,6881.3,5.56644e-05,314.9,2.04099e-05,0.28526,0.0825404,"koff_DT","Pembro"
"59",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,6.30841e-05,NA,0,6.30979e-05,1.09288,0.316228,0.366661,0.499994,0.250039,7.33333,6881.3,6.28163e-05,314.9,2.30323e-05,1.09288,0.316228,"koff_DT","Pembro"
"60",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,9.05949e-05,NA,0,9.06233e-05,4.18704,1.21153,0.366661,0.499994,0.250056,7.33333,6881.31,9.02164e-05,314.9,3.30788e-05,4.18704,1.21153,"koff_DT","Pembro"
"61",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.000195945,NA,0,0.000196078,16.0413,4.64159,0.366661,0.499994,0.25012,7.33333,6881.3,0.000195179,314.9,7.15643e-05,16.0413,4.64159,"koff_DT","Pembro"
"62",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.000598851,NA,0,0.000600097,61.4573,17.7828,0.366661,0.499994,0.250367,7.33333,6881.31,0.000597095,314.9,0.000218931,61.4573,17.7828,"koff_DT","Pembro"
"63",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00213209,NA,0,0.00214797,235.455,68.1292,0.366661,0.499994,0.251313,7.33333,6881.34,0.00213389,314.9,0.000782413,235.455,68.1292,"koff_DT","Pembro"
"64",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00785808,NA,0,0.00807814,902.07,261.016,0.366661,0.499994,0.254908,7.33331,6881.45,0.00797754,314.9,0.00292505,902.07,261.016,"koff_DT","Pembro"
"65",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.0278268,NA,0,0.0307978,3456,1000,0.366661,0.499994,0.268297,7.33324,6881.85,0.0297379,314.9,0.0109037,3456,1000,"koff_DT","Pembro"
"66",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.214802,NA,0,0.8412,0.000816,1e-04,0.366661,0.499994,0.529521,7.33252,6890.55,0.453834,314.9,0.166403,0.000816,1e-04,"kon_DT","Pembro"
"67",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.124671,NA,0,0.219567,0.00312625,0.000383119,0.366661,0.499994,0.360137,7.33285,6884.74,0.178936,314.9,0.0656087,0.00312625,0.000383119,"kon_DT","Pembro"
"68",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.0478114,NA,0,0.0573103,0.0119772,0.0014678,0.366661,0.499994,0.283185,7.33317,6882.3,0.0539314,314.9,0.0197745,0.0119772,0.0014678,"kon_DT","Pembro"
